movie_name,ranking,score,score_num
燕尾蝶,206,8.6,105936
新龙门客栈,207,8.4,177403
英国病人,208,8.4,170389
黑客帝国3：矩阵革命,209,8.5,150495
黄金三镖客,210,9.1,49788
E.T. 外星人,211,8.5,148277
发条橙,212,8.4,181647
城市之光,213,9.2,42045
美国丽人,214,8.4,180214
叫我第一名,215,8.6,105875
无耻混蛋,216,8.4,217381
穆赫兰道,217,8.3,228321
非常嫌疑犯,218,8.6,112869
初恋这件小事,219,8.2,444909
模仿游戏,220,8.5,245208
勇士,221,8.9,85411
上帝也疯狂,222,8.6,93525
蓝色大门,223,8.3,267336
爱在午夜降临前,224,8.8,110859
无敌破坏王,225,8.6,178965
爱·回家,226,9.0,45955
房间,227,8.8,142594
血钻,228,8.5,126149
大卫·戈尔的一生,229,8.6,87939
国王的演讲,230,8.3,328131
枪火,231,8.6,96348
疯狂的石头,232,8.2,301087
头脑特工队,233,8.7,212216
麦兜故事,234,8.5,123877
曾经,235,8.3,197955
暖暖内含光,236,8.4,140256
千钧一发,237,8.7,81791
遗愿清单,238,8.5,122146
荒岛余生,239,8.5,128243
蝴蝶,240,8.6,93124
巴黎淘气帮,241,8.6,102340
与狼共舞,242,8.9,54579
彗星来的那一夜,243,8.4,164573
月球,244,8.5,138877
步履不停,245,8.8,63644
我爱你,246,9.0,53856
偷拐抢骗,247,8.5,112833
一个叫欧维的男人决定去死,248,8.7,104200
夜访吸血鬼,249,8.3,192314
寿司之神,250,8.8,79445
